Temperature Difference,Pressure Difference
2.073245,-3.241693
17.93671,15.78481
1.083576,7.319176
11.12067,14.40678
23.71155,2.557729
5.112543,5.545454
24.23462,3.345746
5.535255,4.526894
1.234353,17.45344
1.2343445,17.45345344
1.27634353,17.8745344
12.234353,12.45344
5.234353,7.45344
6.234353,7.45344
1.23434353,17.4565344
1.23764353,17.4588344
2.234353,7.4655344
1.2564353,17.4523344
1.234353,17.45344
4.234353,13.45344
1.2343539,19.45344
23.234353,17.45545344
14.234353,17.42335344
5.234353,1.45344
16.24534353,27.45344
30.234353,47.45344
56.234353,67.45344
89.234353,67.45344
14.234353,15.45344
1.23544353,17.4545344
1.23764353,17.4537644
1.23424353,17.4245344
18.234353,19.45344
21.234353,47.45344
51.234353,16.45344
6.234353,77.45344
0.234353,16.45344
1.23400353,10.45344
1.23438753,17.4589344
